team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
45,2034,101,2,1,3065,763,3413,1283,907,221,437,297,434,378,1126,789,12392,0,144,144,42,53,0,682,131,2,35,37,57,0,1,0,26,13,0,88,56,0,0,0,1,0,27,11,0,14.3552,0.2959,0.3569,0.4186,0.7755,10.6986,2.6068,0.6723,3.5033,0.0069,0.0000,0.3889,0.4421,3.0347,0.0000,0.0000,0.0000,4.4587,86.0556,0.0000,1.5780,0.5880,0.7441,0.3012
46,2034,101,2,1,3392,873,3805,1298,919,263,509,359,455,419,1293,914,13738,1,144,144,53,51,0,680,144,5,36,50,45,3,0,0,36,13,0,90,75,0,0,0,2,1,45,12,0,13.3042,0.2709,0.3397,0.3827,0.7224,9.4706,2.7103,0.4637,3.6996,0.0139,0.0000,0.5208,0.5096,3.5347,0.0000,0.0000,0.0000,4.3179,95.4028,0.0000,1.4634,0.5859,0.7326,0.2801
47,2034,101,2,1,3196,815,3538,1268,853,290,427,301,411,373,1228,793,12678,2,144,144,48,39,0,602,147,1,28,44,60,3,2,7,36,10,0,88,72,0,0,0,3,1,19,8,0,12.8435,0.2669,0.3293,0.3967,0.7260,9.4119,3.1998,0.6620,3.3212,0.0208,0.0000,0.5000,0.5517,2.9653,0.0000,0.0000,0.0000,4.1157,88.0417,0.0000,1.4148,0.6076,0.9635,0.2759
48,2034,101,2,1,3279,857,3688,1151,822,359,429,372,393,367,1277,798,13384,0,145,145,48,49,0,611,134,2,22,36,41,3,2,5,37,11,0,78,75,0,0,0,3,1,40,13,0,12.6546,0.2507,0.3271,0.3510,0.6781,8.6324,3.7701,0.4306,3.9067,0.0207,0.0000,0.5172,0.4948,2.9586,0.0000,0.0000,0.0000,3.8541,92.3034,0.0000,1.3932,0.6154,0.9651,0.2692
49,2034,101,2,1,3276,818,3731,1277,937,310,430,407,474,428,1269,734,13643,2,144,144,37,52,0,713,145,1,31,42,37,0,0,0,44,16,0,84,58,0,0,0,3,1,30,16,0,14.9511,0.2860,0.3646,0.3898,0.7544,10.3009,3.4080,0.4068,4.4743,0.0208,0.0000,0.4028,0.4157,2.9861,0.0000,0.0000,0.0000,4.7052,94.7431,0.0000,1.6417,0.6335,0.7617,0.3041
50,2034,101,2,1,3306,834,3673,1291,925,252,482,326,409,377,1332,772,12942,1,144,144,40,37,0,688,154,2,28,37,46,1,0,0,27,11,0,95,71,0,0,0,1,0,31,4,0,13.6133,0.2798,0.3438,0.3905,0.7343,9.9780,2.7183,0.4962,3.5166,0.0069,0.0000,0.4931,0.5195,3.3472,0.0000,0.0000,0.0000,4.0667,89.8750,0.0000,1.4994,0.6331,0.7730,0.2895
51,2034,101,2,1,3093,771,3510,1219,880,309,446,371,467,431,1199,695,12747,1,144,144,35,53,0,643,173,1,36,26,38,2,1,4,39,8,0,64,52,0,0,0,0,0,24,15,0,14.6901,0.2845,0.3589,0.3941,0.7530,10.2679,3.6054,0.4434,4.3289,0.0000,0.0000,0.3611,0.3977,3.0972,0.0000,0.0000,0.0000,5.0290,88.5208,0.0000,1.6219,0.6331,0.8329,0.3027
52,2034,101,2,1,3201,792,3573,1307,884,343,421,334,461,409,1146,787,12906,2,145,145,39,51,0,625,158,3,27,38,63,4,0,1,35,8,0,52,49,0,0,0,1,0,22,6,0,13.9201,0.2762,0.3434,0.4083,0.7517,10.0370,3.8944,0.7153,3.7923,0.0069,0.0000,0.3379,0.4333,2.9034,0.0000,0.0000,0.0000,4.6438,89.0069,0.0000,1.5366,0.5929,1.0269,0.2909
53,2034,101,2,1,3222,825,3593,1150,839,340,400,318,416,360,1254,762,13194,1,144,144,36,54,0,625,147,2,39,37,30,1,1,0,33,11,0,67,62,0,0,0,3,1,27,22,0,12.7367,0.2604,0.3253,0.3569,0.6823,9.1490,3.7076,0.3271,3.4677,0.0208,0.0000,0.4306,0.4000,2.7778,0.0000,0.0000,0.0000,3.9257,91.6250,0.0000,1.4019,0.6220,1.0692,0.2798
54,2034,101,2,1,2989,771,3370,1056,778,303,425,339,343,311,1127,765,12118,1,144,144,45,36,0,585,134,3,25,33,26,3,1,19,28,13,0,72,51,0,0,0,1,0,25,7,0,13.1850,0.2603,0.3357,0.3533,0.6890,9.0778,3.5354,0.3034,3.9555,0.0069,0.0000,0.3542,0.5556,2.9514,0.0000,0.0000,0.0000,3.6288,84.1528,0.0000,1.4481,0.5957,0.8938,0.2801
55,2034,101,2,1,2825,706,3232,1103,791,274,420,373,406,353,1004,726,11746,2,144,144,34,42,0,585,140,0,26,26,40,1,1,16,37,7,0,63,36,0,0,0,0,0,17,8,0,14.9137,0.2800,0.3624,0.3904,0.7529,10.0741,3.4896,0.5094,4.7505,0.0000,0.0000,0.2500,0.4474,2.9167,0.0000,0.0000,0.0000,4.4958,81.5694,0.0000,1.6472,0.5803,0.7346,0.2960
56,2034,101,2,1,3266,846,3648,1145,817,339,495,339,364,323,1257,822,13321,2,144,144,59,27,0,603,138,4,26,38,38,2,0,0,37,13,0,75,79,0,0,0,1,1,29,14,0,12.4264,0.2502,0.3208,0.3506,0.6714,8.6846,3.6035,0.4039,3.6035,0.0069,0.0000,0.5486,0.6860,3.4375,0.0000,0.0000,0.0000,3.4335,92.5069,0.0000,1.3654,0.6046,1.0000,0.2672
57,2034,101,2,1,3108,783,3486,1152,844,326,421,339,411,359,1136,761,12888,2,144,144,47,42,0,629,153,4,26,31,31,6,1,1,39,8,0,63,62,0,0,0,2,0,24,10,0,13.6780,0.2716,0.3421,0.3707,0.7128,9.6929,3.7439,0.3560,3.8932,0.0139,0.0000,0.4306,0.5281,2.9236,0.0000,0.0000,0.0000,4.1229,89.5000,0.0000,1.5096,0.5988,0.9617,0.2928
58,2034,101,2,1,3214,811,3662,1236,874,238,385,394,487,433,1212,859,13123,1,144,144,37,62,0,637,154,1,35,41,42,1,0,7,50,18,0,85,59,0,0,0,4,1,30,10,0,14.2654,0.2719,0.3513,0.3846,0.7358,9.6952,2.6401,0.4659,4.3706,0.0278,0.0000,0.4097,0.3737,2.6736,0.0000,0.0000,0.0000,4.8032,91.1319,0.0000,1.5629,0.5852,0.6041,0.2802
59,2034,101,2,1,3109,796,3466,1151,814,299,494,297,399,351,1235,734,12481,0,144,144,43,41,0,596,135,1,38,47,36,2,2,10,30,19,0,77,54,0,0,0,1,1,26,6,0,12.7764,0.2618,0.3263,0.3702,0.6965,9.2035,3.3807,0.4070,3.3580,0.0069,0.0000,0.3750,0.5119,3.4306,0.0000,0.0000,0.0000,3.9686,86.6736,0.0000,1.3957,0.6272,1.0067,0.2767
60,2034,101,2,1,3205,797,3597,1315,927,227,433,343,465,414,1204,824,12975,1,144,144,41,54,0,670,170,0,38,43,44,2,3,0,26,8,0,76,61,0,0,0,0,0,33,12,0,14.4256,0.2892,0.3556,0.4103,0.7659,10.4636,2.5623,0.4967,3.8717,0.0000,0.0000,0.4236,0.4316,3.0069,0.0000,0.0000,0.0000,4.6731,90.1042,0.0000,1.5928,0.5937,0.6618,0.2971
