team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
193,2034,106,11,0,0,42,420,1745,523,1154,68,22,0,1,20,4,0,3462,0,0.9610,4.3596,0.2000,0.0000
194,2034,106,11,0,0,40,400,1681,528,1064,89,22,0,2,15,2,0,3192,0,0.9471,4.4887,0.1333,0.0000
195,2034,106,11,0,0,40,400,1685,540,1049,96,29,0,46,35,3,0,3147,0,0.9430,4.5443,0.0857,0.0000
196,2034,106,11,0,0,40,400,1671,539,1059,73,32,0,1,23,4,0,3177,0,0.9563,4.5269,0.1739,0.0000
197,2034,106,11,0,0,40,400,1718,570,1078,70,36,0,1,9,2,0,3234,0,0.9593,4.5863,0.2222,0.0000
198,2034,106,11,0,0,40,400,1623,479,1058,86,27,1,13,14,6,0,3174,0,0.9470,4.3582,0.4286,0.0000
199,2034,106,11,0,0,40,400,1678,537,1089,52,24,0,9,18,5,0,3267,0,0.9690,4.4793,0.2778,0.0000
200,2034,106,11,0,0,40,400,1692,537,1095,60,21,0,1,13,5,0,3285,0,0.9645,4.4712,0.3846,0.0000
201,2034,106,11,0,0,40,400,1689,528,1082,79,23,0,21,22,3,0,3246,0,0.9532,4.4640,0.1364,0.0000
202,2034,106,11,0,0,40,400,1715,555,1094,66,30,0,19,18,6,0,3285,0,0.9615,4.5178,0.3333,0.0000
203,2034,106,11,0,0,40,400,1747,584,1106,57,33,0,3,10,2,0,3318,0,0.9674,4.5841,0.2000,0.0000
204,2034,106,11,0,0,40,400,1698,551,1063,84,38,0,1,16,4,0,3189,0,0.9505,4.5550,0.2500,0.0000
205,2034,106,11,0,0,40,400,1605,482,1059,64,34,0,17,14,2,0,3177,0,0.9601,4.3654,0.1429,0.0000
206,2034,106,11,0,0,40,400,1651,508,1067,76,22,0,20,35,6,0,3201,0,0.9540,4.4283,0.1714,0.0000
207,2034,106,11,0,0,40,400,1673,537,1078,58,25,0,3,10,2,0,3234,0,0.9653,4.4944,0.2000,0.0000
208,2034,106,11,0,0,40,400,1681,526,1062,93,36,0,28,25,4,0,3186,0,0.9447,4.4859,0.1600,0.0000
209,2034,106,11,0,0,40,400,1674,513,1074,87,26,0,3,26,6,0,3222,0,0.9480,4.4330,0.2308,0.0000
210,2034,106,11,0,0,40,400,1702,522,1055,125,34,0,2,23,8,0,3168,0,0.9266,4.4801,0.3478,0.0000
211,2034,106,11,0,0,40,400,1620,528,1038,54,31,0,5,6,3,0,3114,0,0.9667,4.5260,0.5000,0.0000
