team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
205,2034,106,11,1,532,135,604,200,142,74,0,55,67,54,182,130,2016,0,88,0,4,4,14,106,22,4,11,6,8,1,0,9,4,2,39,9,0,20,3,88,0,0,2,1,9,13.2667,0.2669,0.3317,0.3759,0.7076,9.4667,4.9333,0.5333,3.6667,0.0000,0.0000,0.0000,0.5000,0.0000,0.8235,0.1500,0.4432,3.6000,22.9091,0.0000,1.4593,0.5833,1.3455,0.2907
206,2034,106,11,1,566,144,625,180,134,82,0,52,55,43,202,130,2227,2,108,0,9,5,7,102,23,1,4,4,5,0,0,5,5,2,37,9,0,10,3,108,0,0,11,3,10,11.6959,0.2367,0.3013,0.3180,0.6193,8.3364,5.1014,0.3111,3.2350,0.0000,0.0000,0.0000,0.6429,0.0000,0.7000,0.3000,0.3426,2.6751,20.6204,0.0000,1.2857,0.6084,1.5769,0.2671
207,2034,106,11,1,620,164,710,181,132,78,0,76,61,41,256,140,2519,2,112,0,9,7,15,99,23,2,8,4,6,0,0,4,5,4,40,13,0,19,4,112,0,0,5,0,24,11.5870,0.2129,0.2994,0.2919,0.5914,7.2146,4.2632,0.3279,4.1538,0.0000,0.0000,0.0000,0.5625,0.0000,0.7895,0.2105,0.3571,2.2409,22.4911,0.0000,1.2632,0.6465,1.0263,0.2316
208,2034,106,11,1,694,169,800,260,187,75,0,93,120,88,254,154,2789,0,101,0,9,6,11,140,30,5,8,8,9,1,0,10,8,0,40,15,0,17,5,101,0,0,7,2,8,14.9112,0.2695,0.3522,0.3746,0.7268,9.9586,3.9941,0.4793,4.9527,0.0000,0.0000,0.0000,0.6000,0.0000,0.6875,0.2941,0.3960,4.6864,27.6139,0.0000,1.6568,0.6225,0.8065,0.2880
209,2034,106,11,1,552,131,639,218,157,74,0,77,96,68,195,108,2284,0,99,0,11,5,8,121,20,2,7,7,9,1,0,9,12,1,39,6,0,16,8,99,0,0,7,1,5,16.1450,0.2844,0.3689,0.3949,0.7638,10.7863,5.0840,0.6183,5.2901,0.0000,0.0000,0.0000,0.6875,0.0000,0.5000,0.5000,0.3939,4.6718,23.0707,0.0000,1.7863,0.6436,0.9610,0.3109
210,2034,106,11,1,820,175,1007,367,292,62,0,163,220,165,241,189,3576,1,90,0,4,10,2,238,40,6,12,7,7,1,1,3,13,5,39,17,0,4,2,90,0,0,10,6,1,23.6122,0.3561,0.4600,0.4476,0.9076,14.9886,3.1825,0.3593,8.3669,0.0000,0.0000,0.0000,0.2857,0.0000,0.5000,0.5000,0.4333,8.4696,39.7333,0.0000,2.5951,0.5605,0.3804,0.3735
211,2034,106,11,1,514,122,617,195,162,42,0,86,99,83,179,128,2152,0,99,0,5,8,3,135,23,7,8,2,2,0,0,4,12,2,35,11,0,9,6,99,0,0,1,0,9,18.4426,0.3152,0.4098,0.3794,0.7892,11.9508,3.0984,0.1475,6.3443,0.0000,0.0000,0.0000,0.3846,0.0000,0.3333,0.6667,0.3535,6.1230,21.7374,0.0000,2.0328,0.5831,0.4884,0.3347
212,2034,106,11,1,683,162,818,284,220,47,0,116,142,120,261,153,2829,1,95,0,7,15,5,175,34,4,12,3,8,0,1,7,8,2,38,18,0,10,5,95,0,0,10,0,6,18.7392,0.3221,0.4157,0.4158,0.8316,12.1971,2.6057,0.4435,6.4312,0.0000,0.0000,0.0000,0.3182,0.0000,0.5000,0.5000,0.4000,6.6530,29.7789,0.0000,2.0698,0.6304,0.4052,0.3312
213,2034,106,11,1,621,153,719,226,165,80,0,87,88,68,219,136,2426,1,114,0,17,7,15,128,21,2,9,8,8,0,0,11,11,0,41,12,0,25,8,114,0,0,7,2,9,14.7913,0.2657,0.3515,0.3639,0.7154,9.6848,4.6957,0.4696,5.1065,0.0000,0.0000,0.0000,0.7083,0.0000,0.6522,0.3200,0.3596,3.9913,21.2807,0.0000,1.6435,0.6169,0.9195,0.2897
214,2034,106,11,1,556,141,651,208,144,70,0,83,82,76,190,151,2198,1,110,0,9,7,17,104,23,3,7,10,7,0,0,18,7,2,40,7,0,24,6,110,0,0,7,2,16,14.5825,0.2590,0.3534,0.3741,0.7275,9.1698,4.4575,0.4458,5.2854,0.0000,0.0000,0.0000,0.5625,0.0000,0.7391,0.2500,0.3636,4.8396,19.9818,0.0000,1.6061,0.5572,0.8434,0.2819
